id,title,etag,channelId,assignable
1,Film & Animation,IfWa37JGcqZs-jZeAyFGkbeh6bc,UCBR8-60-B28hp2BmDPdntcQ,True
2,Autos & Vehicles,5XGylIs7zkjHh5940dsT5862m1Y,UCBR8-60-B28hp2BmDPdntcQ,True
10,Music,HCjFMARbBeWjpm6PDfReCOMOZGA,UCBR8-60-B28hp2BmDPdntcQ,True
15,Pets & Animals,ra8H7xyAfmE2FewsDabE3TUSq10,UCBR8-60-B28hp2BmDPdntcQ,True
17,Sports,7mqChSJogdF3hSIL-88BfDE-W8M,UCBR8-60-B28hp2BmDPdntcQ,True
18,Short Movies,0Z6uGkj97NgjD-X3pkA-nL18Hqk,UCBR8-60-B28hp2BmDPdntcQ,False
19,Travel & Events,K_-7stg0kIU7eUBOPUa6j5fqIMQ,UCBR8-60-B28hp2BmDPdntcQ,True
20,Gaming,I3IL9xGIM3MsULlqR4tvCsEKv98,UCBR8-60-B28hp2BmDPdntcQ,True
21,Videoblogging,D1W6tq5mMMCV0wtNxf9A6g9wWjU,UCBR8-60-B28hp2BmDPdntcQ,False
22,People & Blogs,QMEBz6mxVdklVaq8JwesPEw_4nI,UCBR8-60-B28hp2BmDPdntcQ,True
23,Comedy,v2n6q4JttoL4uUbazrcxNQRGPZk,UCBR8-60-B28hp2BmDPdntcQ,True
24,Entertainment,Qi1csjh-POReitZEbR7CUw7dmao,UCBR8-60-B28hp2BmDPdntcQ,True
25,News & Politics,IbGXblQi8v_nOsXjirhul1NVcH8,UCBR8-60-B28hp2BmDPdntcQ,True
26,Howto & Style,gYzt8dB8mlod-84ipMtjynYe9xU,UCBR8-60-B28hp2BmDPdntcQ,True
27,Education,hHUhloYhyMMqVkQ4LH9sr3aRQoU,UCBR8-60-B28hp2BmDPdntcQ,True
28,Science & Technology,KEdEtUd4WGk_aACrYI03UhGE33w,UCBR8-60-B28hp2BmDPdntcQ,True
30,Movies,tMfbFvkfuPP8YnUEqpr0gcR6aWU,UCBR8-60-B28hp2BmDPdntcQ,False
31,Anime/Animation,totPMF_82XTvVFy0ExFgoKhTklM,UCBR8-60-B28hp2BmDPdntcQ,False
32,Action/Adventure,LNgRKNynxC50MeYV9e6XLPX9JC4,UCBR8-60-B28hp2BmDPdntcQ,False
33,Classics,harT7v7A6516SPdkqp81Xy5yfBw,UCBR8-60-B28hp2BmDPdntcQ,False
34,Comedy,M6Y5Av0CP45r5GgpzamLfHj41y4,UCBR8-60-B28hp2BmDPdntcQ,False
35,Documentary,ZFbZGeeLYWolvmCLQM7m8Yio104,UCBR8-60-B28hp2BmDPdntcQ,False
36,Drama,FD7naICnxxl8HOnZZJAzrWplzuU,UCBR8-60-B28hp2BmDPdntcQ,False
37,Family,7fvdoCRRWE89SpB5UaOY8gGdbk0,UCBR8-60-B28hp2BmDPdntcQ,False
38,Foreign,H6d6HrYDy3EAVAxQR8Z-ShEva1k,UCBR8-60-B28hp2BmDPdntcQ,False
39,Horror,Z3yra5IR8n2bkjvv3ZheAOQ-tUk,UCBR8-60-B28hp2BmDPdntcQ,False
40,Sci-Fi/Fantasy,3F8eda4xnGzGFmlpsFaf5_YpOgU,UCBR8-60-B28hp2BmDPdntcQ,False
41,Thriller,HwuNLGhBJ4PZCEurr-SoqvHuKx8,UCBR8-60-B28hp2BmDPdntcQ,False
42,Shorts,qJ2eDOZWUDj8fbFYAIG_yzPCYRc,UCBR8-60-B28hp2BmDPdntcQ,False
43,Shows,2sKmjip5q7FHJgqkHvnpMDgmddE,UCBR8-60-B28hp2BmDPdntcQ,False
44,Trailers,3IaZjRK8JeIkLMfRDX57P4FFb9A,UCBR8-60-B28hp2BmDPdntcQ,False
